#=====================================================
# File created:        Thu-31-Oct-2024-at-02-25-17AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.531962
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00180    1.0000   -2461.5222  0.2590 
   00181    1.0000   -2532.6906  0.2636 
   00182    1.0000   -2507.3698  0.2610 
   00183    1.0000   -2526.2799  0.2575 
   00184    1.0000   -2486.5121  0.2699 
   00185    1.0000   -2403.7045  0.2694 
   00186    1.0000   -2329.6232  0.2727 
   00187    1.0000   -2486.8925  0.2724 
   00188    1.0000   -2475.5645  0.2659 
   00189    1.0000   -2427.6610  0.2705 
   00190    1.0000   -2459.6631  0.2783 
   00191    1.0000   -2399.3265  0.2628 
   00192    1.0000   -2410.2494  0.2615 
   00193    1.0000   -2342.8698  0.2653 
   00194    1.0000   -2291.8168  0.2650 
   00195    1.0000   -2251.7499  0.2617 
   00196    1.0000   -2336.4265  0.2539 
   00197    1.0000   -2351.6994  0.2548 
   00198    1.0000   -2377.3893  0.2516 
   00199    1.0000   -2347.5065  0.2603 
   00200    1.0000   -2490.8691  0.2525 
   00201    1.0000   -2474.4249  0.2509 
   00202    1.0000   -2428.4476  0.2517 
   00203    1.0000   -2486.1075  0.2551 
   00204    1.0000   -2377.4332  0.2520 
   00205    1.0000   -2412.3145  0.2665 
   00206    1.0000   -2475.0423  0.2633 
   00207    1.0000   -2511.9313  0.2616 
   00208    1.0000   -2507.7426  0.2552 
   00209    1.0000   -2653.4386  0.2565 
   00210    0.0000   -2555.8541  0.2667 
   00211    1.0000   -2510.5653  0.2699 
   00212    0.0000   -2601.6766  0.2549 
   00213    1.0000   -2599.5978  0.2561 
   00214    1.0000   -2744.4332  0.2589 
   00215    1.0000   -2618.8969  0.2607 
   00216    1.0000   -2594.2959  0.2579 
   00217    1.0000   -2533.0183  0.2641 
   00218    1.0000   -2451.4205  0.2583 
   00219    1.0000   -2552.5217  0.2624 
   00220    1.0000   -2520.9671  0.2597 
   00221    1.0000   -2685.7465  0.2704 
   00222    1.0000   -2517.3521  0.2727 
   00223    1.0000   -2511.5104  0.2703 
   00224    1.0000   -2531.4716  0.2611 
   00225    1.0000   -2539.7250  0.2576 
   00226    1.0000   -2512.1001  0.2557 
   00227    1.0000   -2462.2009  0.2572 
   00228    1.0000   -2473.8597  0.2667 
   00229    1.0000   -2477.8513  0.2634 
   00230    1.0000   -2457.9000  0.2686 
   00231    1.0000   -2481.9975  0.2682 
   00232    1.0000   -2493.8288  0.2606 
   00233    1.0000   -2465.1105  0.2610 
   00234    1.0000   -2575.8505  0.2629 
   00235    1.0000   -2539.6652  0.2595 
   00236    1.0000   -2543.6932  0.2518 
   00237    1.0000   -2590.2172  0.2602 
   00238    1.0000   -2603.1802  0.2564 
   00239    1.0000   -2478.9819  0.2614 
   00240    1.0000   -2497.5549  0.2648 
   00241    1.0000   -2480.2690  0.2730 
   00242    1.0000   -2369.9606  0.2643 
   00243    1.0000   -2314.8680  0.2645 
   00244    1.0000   -2371.0793  0.2673 
   00245    1.0000   -2419.8022  0.2609 
   00246    1.0000   -2445.2605  0.2632 
   00247    1.0000   -2503.7313  0.2706 
   00248    1.0000   -2354.5057  0.2680 
   00249    1.0000   -2432.8901  0.2737 
   00250    1.0000   -2545.0817  0.2621 
   00251    1.0000   -2551.1173  0.2671 
   00252    1.0000   -2579.6939  0.2741 
   00253    1.0000   -2481.3563  0.2795 
   00254    1.0000   -2430.2042  0.2794 
   00255    1.0000   -2474.6847  0.2825 
   00256    1.0000   -2493.4742  0.2798 
   00257    1.0000   -2388.7036  0.2667 
   00258    1.0000   -2493.2687  0.2631 
   00259    1.0000   -2476.4580  0.2711 
   00260    1.0000   -2456.5998  0.2678 
   00261    1.0000   -2480.1899  0.2727 
   00262    1.0000   -2541.0072  0.2669 
   00263    1.0000   -2571.0300  0.2616 
   00264    1.0000   -2570.6253  0.2647 
   00265    1.0000   -2558.2066  0.2578 
   00266    1.0000   -2594.0046  0.2584 
   00267    1.0000   -2641.4891  0.2635 
   00268    1.0000   -2472.4064  0.2576 
   00269    1.0000   -2435.8071  0.2567 
   00270    1.0000   -2478.1550  0.2557 
   00271    1.0000   -2487.9639  0.2545 
   00272    1.0000   -2433.9831  0.2606 
   00273    1.0000   -2490.4790  0.2597 
   00274    1.0000   -2444.2746  0.2758 
   00275    1.0000   -2540.9803  0.2739 
   00276    1.0000   -2432.0909  0.2683 
   00277    1.0000   -2425.1800  0.2749 
   00278    1.0000   -2388.9039  0.2640 
   00279    1.0000   -2374.9195  0.2587 
   00280    1.0000   -2371.0050  0.2566 
   00281    1.0000   -2386.1094  0.2611 
   00282    0.0000   -2490.7849  0.2713 
   00283    1.0000   -2537.6649  0.2579 
   00284    1.0000   -2547.5176  0.2587 
   00285    1.0000   -2421.5352  0.2556 
   00286    1.0000   -2440.0974  0.2583 
   00287    1.0000   -2516.3037  0.2532 
   00288    1.0000   -2462.9478  0.2554 
   00289    1.0000   -2532.9490  0.2578 
   00290    1.0000   -2494.4207  0.2585 
   00291    1.0000   -2520.2804  0.2637 
   00292    1.0000   -2438.5831  0.2719 
   00293    1.0000   -2545.0617  0.2680 
   00294    1.0000   -2515.0053  0.2609 
   00295    1.0000   -2525.2557  0.2578 
   00296    1.0000   -2495.0125  0.2655 
   00297    1.0000   -2511.1363  0.2617 
   00298    1.0000   -2510.1473  0.2584 
   00299    1.0000   -2514.5003  0.2642 
   00300    1.0000   -2487.1444  0.2684 
   00301    1.0000   -2561.1817  0.2691 
   00302    1.0000   -2577.5012  0.2658 
   00303    1.0000   -2527.5519  0.2676 
   00304    1.0000   -2557.4644  0.2714 
   00305    1.0000   -2499.5856  0.2641 
   00306    1.0000   -2596.3832  0.2527 
   00307    1.0000   -2599.9180  0.2553 
   00308    1.0000   -2484.1593  0.2639 
   00309    1.0000   -2510.6794  0.2603 
   00310    1.0000   -2592.5430  0.2618 
   00311    1.0000   -2644.2179  0.2598 
   00312    1.0000   -2562.7677  0.2623 
   00313    1.0000   -2528.3302  0.2629 
   00314    1.0000   -2473.0402  0.2599 
   00315    1.0000   -2503.3169  0.2620 
   00316    1.0000   -2433.8993  0.2640 
   00317    1.0000   -2447.3600  0.2660 
   00318    1.0000   -2513.6556  0.2583 
   00319    1.0000   -2445.8776  0.2596 
   00320    1.0000   -2513.5587  0.2511 
   00321    1.0000   -2568.9655  0.2586 
   00322    1.0000   -2456.5443  0.2593 
   00323    1.0000   -2632.4955  0.2610 
   00324    1.0000   -2638.4963  0.2524 
   00325    1.0000   -2583.2960  0.2553 
   00326    1.0000   -2638.8428  0.2518 
   00327    1.0000   -2532.7598  0.2560 
   00328    1.0000   -2571.7018  0.2637 
   00329    1.0000   -2565.7784  0.2688 
   00330    1.0000   -2539.6173  0.2707 
   00331    1.0000   -2437.3642  0.2779 
   00332    0.0000   -2505.1618  0.2673 
   00333    1.0000   -2495.5271  0.2706 
   00334    1.0000   -2547.4036  0.2707 
   00335    1.0000   -2633.7344  0.2612 
   00336    1.0000   -2647.4478  0.2669 
   00337    1.0000   -2758.7236  0.2723 
   00338    1.0000   -2636.7921  0.2529 
   00339    1.0000   -2639.9413  0.2676 
   00340    1.0000   -2584.1543  0.2727 
   00341    1.0000   -2514.1408  0.2574 
   00342    1.0000   -2503.3469  0.2661 
   00343    1.0000   -2580.1590  0.2700 
   00344    1.0000   -2581.3249  0.2638 
   00345    1.0000   -2662.5537  0.2612 
   00346    1.0000   -2585.3964  0.2590 
   00347    1.0000   -2589.8913  0.2561 
   00348    1.0000   -2516.4192  0.2545 
   00349    1.0000   -2524.2268  0.2605 
   00350    1.0000   -2495.9133  0.2600 
   00351    1.0000   -2428.4861  0.2696 
   00352    1.0000   -2404.5869  0.2684 
   00353    1.0000   -2429.5143  0.2609 
   00354    1.0000   -2450.5763  0.2618 
   00355    1.0000   -2417.8205  0.2605 
   00356    1.0000   -2510.2173  0.2635 
   00357    1.0000   -2460.6373  0.2662 
   00358    1.0000   -2491.8658  0.2679 
   00359    1.0000   -2544.7801  0.2704 
   00360    1.0000   -2538.5437  0.2648 
   00361    0.0000   -2541.1189  0.2746 
   00362    1.0000   -2513.2465  0.2618 
   00363    1.0000   -2509.5727  0.2662 
   00364    1.0000   -2445.3794  0.2701 
   00365    1.0000   -2558.9627  0.2815 
   00366    1.0000   -2671.0730  0.2782 
   00367    1.0000   -2450.1888  0.2705 
   00368    1.0000   -2409.9347  0.2581 
   00369    1.0000   -2471.9188  0.2562 
   00370    1.0000   -2522.5367  0.2533 
   00371    1.0000   -2522.3378  0.2549 
   00372    1.0000   -2547.9389  0.2523 
   00373    1.0000   -2565.4422  0.2671 
   00374    1.0000   -2534.7709  0.2759 
   00375    1.0000   -2528.7688  0.2700 
   00376    1.0000   -2531.1057  0.2788 
   00377    1.0000   -2495.0946  0.2655 
   00378    1.0000   -2639.2648  0.2651 
   00379    1.0000   -2573.0457  0.2655 
   00380    1.0000   -2561.5462  0.2676 
   00381    1.0000   -2528.7867  0.2614 
   00382    1.0000   -2487.8367  0.2535 
   00383    1.0000   -2613.6657  0.2618 
   00384    1.0000   -2630.5014  0.2597 
   00385    1.0000   -2481.4702  0.2649 
   00386    1.0000   -2463.5986  0.2578 
   00387    1.0000   -2485.0669  0.2629 
   00388    1.0000   -2494.6034  0.2584 
   00389    1.0000   -2454.0700  0.2540 
   00390    1.0000   -2424.1504  0.2614 
   00391    1.0000   -2470.6456  0.2578 
   00392    1.0000   -2435.4021  0.2618 
   00393    1.0000   -2520.5383  0.2622 
   00394    1.0000   -2544.7860  0.2574 
   00395    0.0000   -2521.5403  0.2555 
   00396    1.0000   -2472.6869  0.2581 
   00397    1.0000   -2493.1968  0.2507 
   00398    1.0000   -2512.4460  0.2580 
   00399    0.0000   -2420.8090  0.2578 
   00400    1.0000   -2407.8013  0.2648 
   00401    1.0000   -2373.4324  0.2625 
   00402    1.0000   -2446.8211  0.2570 
   00403    1.0000   -2397.9521  0.2610 
   00404    1.0000   -2535.9168  0.2584 
   00405    1.0000   -2536.8864  0.2692 
   00406    1.0000   -2595.0752  0.2703 
   00407    1.0000   -2621.0613  0.2719 
   00408    1.0000   -2556.3169  0.2716 
   00409    1.0000   -2570.7115  0.2646 
   00410    1.0000   -2569.1454  0.2579 
   00411    1.0000   -2472.0598  0.2629 
   00412    1.0000   -2368.1063  0.2604 
   00413    1.0000   -2399.3022  0.2752 
   00414    1.0000   -2309.7435  0.2670 
   00415    1.0000   -2454.8026  0.2658 
   00416    1.0000   -2550.8237  0.2612 
   00417    1.0000   -2597.5965  0.2602 
   00418    1.0000   -2541.5998  0.2636 
   00419    1.0000   -2524.1911  0.2706 
   00420    1.0000   -2523.1782  0.2657 
   00421    1.0000   -2430.2631  0.2677 
   00422    1.0000   -2539.9266  0.2657 
   00423    1.0000   -2581.9814  0.2614 
   00424    1.0000   -2508.4474  0.2603 
   00425    1.0000   -2552.6451  0.2713 
   00426    1.0000   -2533.5213  0.2616 
   00427    1.0000   -2375.2341  0.2603 
   00428    1.0000   -2408.2989  0.2625 
   00429    1.0000   -2363.8140  0.2576 
   00430    1.0000   -2461.8541  0.2590 
   00431    1.0000   -2368.4837  0.2568 
   00432    1.0000   -2398.7701  0.2728 
   00433    1.0000   -2491.3392  0.2751 
   00434    1.0000   -2380.9127  0.2646 
   00435    1.0000   -2379.6566  0.2587 
   00436    1.0000   -2382.7569  0.2573 
   00437    1.0000   -2381.9160  0.2536 
   00438    1.0000   -2434.6228  0.2596 
   00439    1.0000   -2452.8363  0.2655 
   00440    1.0000   -2402.3080  0.2660 
   00441    1.0000   -2483.8667  0.2539 
   00442    1.0000   -2578.6588  0.2541 
   00443    1.0000   -2543.4975  0.2570 
   00444    1.0000   -2477.2312  0.2538 
   00445    1.0000   -2454.7935  0.2525 
   00446    1.0000   -2403.3544  0.2570 
   00447    1.0000   -2427.0088  0.2552 
   00448    1.0000   -2455.4209  0.2538 
   00449    1.0000   -2455.3634  0.2580 
   00450    1.0000   -2447.9751  0.2577 
   00451    1.0000   -2439.9667  0.2706 
   00452    1.0000   -2489.2665  0.2598 
   00453    1.0000   -2495.0201  0.2546 
   00454    1.0000   -2464.7263  0.2590 
   00455    1.0000   -2456.4865  0.2667 
   00456    0.0000   -2501.5746  0.2663 
   00457    1.0000   -2472.0233  0.2634 
   00458    1.0000   -2491.4546  0.2632 
   00459    1.0000   -2497.7141  0.2615 
   00460    1.0000   -2528.3793  0.2609 
   00461    1.0000   -2475.6328  0.2580 
   00462    1.0000   -2422.0000  0.2554 
   00463    1.0000   -2489.6130  0.2619 
   00464    1.0000   -2453.8865  0.2581 
   00465    1.0000   -2388.9341  0.2631 
   00466    1.0000   -2536.8143  0.2639 
   00467    1.0000   -2441.1991  0.2644 
   00468    1.0000   -2398.2710  0.2645 
   00469    1.0000   -2428.8338  0.2693 
   00470    1.0000   -2488.0686  0.2709 
   00471    1.0000   -2390.3737  0.2700 
   00472    1.0000   -2407.5199  0.2624 
   00473    1.0000   -2429.5632  0.2594 
   00474    1.0000   -2443.5751  0.2662 
   00475    1.0000   -2496.3057  0.2516 
   00476    1.0000   -2487.7973  0.2581 
   00477    1.0000   -2493.2036  0.2585 
   00478    1.0000   -2405.4315  0.2652 
   00479    1.0000   -2438.8056  0.2631 
   00480    1.0000   -2566.8940  0.2648 
   00481    1.0000   -2545.8312  0.2662 
   00482    1.0000   -2503.8151  0.2588 
   00483    1.0000   -2493.3702  0.2586 
   00484    1.0000   -2562.4007  0.2614 
   00485    1.0000   -2454.3708  0.2669 
   00486    1.0000   -2496.1940  0.2716 
   00487    1.0000   -2491.0381  0.2722 
   00488    1.0000   -2482.9422  0.2793 
   00489    1.0000   -2549.9561  0.2642 
   00490    1.0000   -2476.1318  0.2582 
   00491    1.0000   -2624.0265  0.2592 
   00492    1.0000   -2588.6129  0.2579 
   00493    1.0000   -2537.7151  0.2571 
   00494    1.0000   -2505.7386  0.2595 
   00495    1.0000   -2513.0458  0.2620 
   00496    1.0000   -2341.5506  0.2619 
   00497    1.0000   -2445.9644  0.2707 
   00498    1.0000   -2464.8317  0.2679 
   00499    1.0000   -2496.0680  0.2536 
   00500    1.0000   -2526.8791  0.2563 
   00501    1.0000   -2570.3373  0.2550 
   00502    1.0000   -2555.9557  0.2583 
   00503    1.0000   -2529.8653  0.2521 
   00504    1.0000   -2542.3048  0.2544 
   00505    1.0000   -2489.7467  0.2555 
   00506    1.0000   -2574.7037  0.2597 
   00507    1.0000   -2469.5921  0.2565 
   00508    1.0000   -2488.0827  0.2587 
   00509    1.0000   -2523.9790  0.2640 
   00510    1.0000   -2465.8827  0.2653 
   00511    1.0000   -2486.3062  0.2612 
   00512    1.0000   -2434.0506  0.2637 
   00513    1.0000   -2512.6425  0.2663 
   00514    1.0000   -2506.9752  0.2667 
   00515    1.0000   -2586.8380  0.2682 
   00516    1.0000   -2600.8768  0.2667 
   00517    1.0000   -2541.3325  0.2563 
   00518    1.0000   -2451.9133  0.2602 
   00519    1.0000   -2471.8728  0.2618 
   00520    1.0000   -2452.2262  0.2547 
   00521    1.0000   -2416.7880  0.2638 
   00522    1.0000   -2386.6541  0.2615 
   00523    1.0000   -2389.6500  0.2586 
   00524    1.0000   -2401.1144  0.2515 
   00525    1.0000   -2466.0456  0.2632 
   00526    1.0000   -2537.8845  0.2625 
   00527    1.0000   -2420.7136  0.2628 
   00528    1.0000   -2312.1867  0.2604 
   00529    1.0000   -2318.0103  0.2597 
   00530    1.0000   -2437.4420  0.2590 
   00531    1.0000   -2487.1748  0.2535 
   00532    1.0000   -2385.1685  0.2674 
   00533    1.0000   -2481.3577  0.2604 
   00534    1.0000   -2475.1418  0.2604 
   00535    1.0000   -2372.6377  0.2513 
   00536    1.0000   -2399.1999  0.2588 
   00537    1.0000   -2469.0732  0.2581 
   00538    1.0000   -2389.7841  0.2653 
   00539    0.0000   -2416.6824  0.2631 
   00540    1.0000   -2385.9354  0.2669 
   00541    0.0000   -2422.1188  0.2716 
   00542    1.0000   -2538.0446  0.2660 
   00543    0.0000   -2473.3186  0.2569 
   00544    1.0000   -2533.0285  0.2546 
   00545    0.0000   -2568.8697  0.2507 
   00546    1.0000   -2652.7037  0.2670 
   00547    1.0000   -2546.5123  0.2802 
   00548    1.0000   -2441.6388  0.2801 
   00549    1.0000   -2463.3333  0.2683 
   00550    1.0000   -2534.7812  0.2590 
   00551    1.0000   -2411.2550  0.2551 
   00552    0.0000   -2451.3268  0.2580 
   00553    1.0000   -2464.1365  0.2596 
   00554    1.0000   -2482.5049  0.2567 
   00555    1.0000   -2464.7864  0.2631 
   00556    1.0000   -2470.4100  0.2764 
   00557    1.0000   -2506.4068  0.2755 
   00558    1.0000   -2484.0520  0.2727 
   00559    1.0000   -2440.2990  0.2701 
   00560    1.0000   -2523.7663  0.2641 
   00561    1.0000   -2476.6016  0.2594 
   00562    1.0000   -2533.3824  0.2505 
   00563    1.0000   -2490.0185  0.2611 
   00564    1.0000   -2402.8495  0.2621 
   00565    1.0000   -2494.4476  0.2730 
   00566    1.0000   -2402.9898  0.2712 
   00567    1.0000   -2509.1573  0.2725 
   00568    1.0000   -2451.7652  0.2634 
   00569    1.0000   -2538.0923  0.2555 
   00570    1.0000   -2470.2106  0.2552 
   00571    1.0000   -2502.1464  0.2637 
   00572    1.0000   -2482.6950  0.2613 
   00573    1.0000   -2427.1278  0.2541 
   00574    1.0000   -2527.0872  0.2573 
   00575    1.0000   -2514.3713  0.2657 
   00576    1.0000   -2595.3643  0.2574 
   00577    1.0000   -2534.2687  0.2564 
   00578    1.0000   -2419.8201  0.2729 
   00579    1.0000   -2352.5446  0.2726 
   00580    1.0000   -2329.7367  0.2686 
   00581    0.0000   -2519.1778  0.2732 
   00582    1.0000   -2524.0305  0.2676 
   00583    1.0000   -2494.2483  0.2546 
   00584    1.0000   -2468.3795  0.2689 
   00585    1.0000   -2336.9423  0.2648 
   00586    1.0000   -2406.0893  0.2630 
   00587    1.0000   -2465.4652  0.2686 
   00588    1.0000   -2427.5748  0.2685 
   00589    1.0000   -2421.6745  0.2586 
   00590    1.0000   -2487.7011  0.2586 
   00591    1.0000   -2631.7059  0.2629 
   00592    1.0000   -2604.9713  0.2522 
   00593    1.0000   -2492.5437  0.2646 
   00594    1.0000   -2558.7605  0.2725 
   00595    1.0000   -2523.0808  0.2647 
   00596    1.0000   -2478.7406  0.2840 
   00597    1.0000   -2485.4096  0.2630 
   00598    1.0000   -2508.7001  0.2631 
   00599    1.0000   -2461.5742  0.2680 
   00600    1.0000   -2317.9267  0.2697 
   00601    1.0000   -2358.5847  0.2647 
   00602    1.0000   -2369.6219  0.2658 
   00603    1.0000   -2487.4454  0.2665 
   00604    1.0000   -2451.6692  0.2701 
   00605    1.0000   -2395.0886  0.2639 
   00606    1.0000   -2485.0258  0.2604 
   00607    1.0000   -2490.0110  0.2646 
   00608    1.0000   -2432.3226  0.2663 
   00609    1.0000   -2489.7761  0.2552 
   00610    1.0000   -2482.3034  0.2652 
   00611    1.0000   -2448.6142  0.2649 
   00612    1.0000   -2501.8731  0.2676 
   00613    1.0000   -2550.2183  0.2660 
   00614    1.0000   -2604.4096  0.2655 
   00615    1.0000   -2579.2103  0.2563 
   00616    1.0000   -2507.4249  0.2587 
   00617    1.0000   -2555.1127  0.2590 
   00618    1.0000   -2446.1260  0.2603 
   00619    1.0000   -2491.4581  0.2682 
   00620    1.0000   -2582.4466  0.2704 
   00621    1.0000   -2460.7472  0.2614 
   00622    1.0000   -2439.4944  0.2616 
   00623    1.0000   -2440.2009  0.2637 
   00624    1.0000   -2476.2965  0.2560 
